round,fixtureGame,home,away
Round 0,1,Sydney,Carlton
Round 0,2,Gold Coast,Geelong
Round 0,3,Greater Western Sydney,Hawthorn
Round 0,4,Brisbane,Western Bulldogs
Round 0,5,St Kilda,Collingwood
Round 1,1,Carlton,Richmond
Round 1,2,Essendon,Hawthorn
Round 1,3,Western Bulldogs,Greater Western Sydney
Round 1,4,Geelong,Fremantle
Round 1,5,Sydney,Brisbane
Round 1,6,Collingwood,Adelaide
Round 1,7,North Melbourne,Port Adelaide
Round 1,8,Melbourne,St Kilda
Round 1,9,Gold Coast,West Coast
Round 2,1,Hawthorn,Sydney
Round 2,2,Adelaide,Western Bulldogs
Round 2,3,Richmond,Gold Coast
Round 2,4,Greater Western Sydney,St Kilda
Round 2,5,Fremantle,Melbourne
Round 2,6,Port Adelaide,Essendon
Round 2,7,West Coast,North Melbourne
Round 3,1,Geelong,Adelaide
Round 3,2,Collingwood,Greater Western Sydney
Round 3,3,St Kilda,Brisbane
Round 3,4,Fremantle,Richmond
Round 3,5,Essendon,North Melbourne
Round 3,6,Port Adelaide,West Coast
Round 3,7,Carlton,Melbourne
Round 4,1,Brisbane,Collingwood
Round 4,2,North Melbourne,Carlton
Round 4,3,Adelaide,Fremantle
Round 4,4,Richmond,Port Adelaide
Round 4,5,West Coast,Sydney
Round 4,6,Melbourne,Gold Coast
Round 4,7,Western Bulldogs,Essendon
Round 4,8,Hawthorn,Geelong
Round 5,1,Adelaide,Carlton
Round 5,2,Collingwood,Fremantle
Round 5,3,North Melbourne,Brisbane
Round 5,4,Essendon,Melbourne
Round 5,5,Sydney,Gold Coast
Round 5,6,Hawthorn,Western Bulldogs
Round 5,7,Geelong,West Coast
Round 5,8,Greater Western Sydney,Richmond
Round 5,9,Port Adelaide,St Kilda
Round 6,1,Carlton,Collingwood
Round 6,2,Geelong,Western Bulldogs
Round 6,3,Sydney,Greater Western Sydney
Round 6,4,Gold Coast,Essendon
Round 6,5,Hawthorn,Port Adelaide
Round 6,6,Adelaide,St Kilda
Round 6,7,North Melbourne,Richmond
Round 6,8,West Coast,Fremantle
Round 6,9,Melbourne,Brisbane
Round 7,1,Western Bulldogs,Sydney
Round 7,2,Richmond,Melbourne
Round 7,3,Hawthorn,Gold Coast
Round 7,4,Essendon,Collingwood
Round 7,5,Port Adelaide,Geelong
Round 7,6,Fremantle,Carlton
Round 7,7,St Kilda,West Coast
Round 7,8,Brisbane,Adelaide
Round 7,9,Greater Western Sydney,North Melbourne
Round 8,1,Collingwood,Hawthorn
Round 8,2,Western Bulldogs,Fremantle
Round 8,3,Adelaide,Port Adelaide
Round 8,4,Essendon,Brisbane
Round 8,5,West Coast,Richmond
Round 8,6,Geelong,North Melbourne
Round 8,7,Carlton,St Kilda
