Player,Team,Human Tracker,Model EV,Locked Vote,Low,High,3s,2s,1s,0.5s,Confidence,Fringe Share
Nick Daicos,Collingwood,46.0,44.789,45,43,47,11,4,5,0,Very High,0.1087
Bailey Smith,Geelong,31.5,30.742,31,29,33,7,4,1,3,Very High,0.0794
Marcus Bontempelli,Western Bulldogs,32.0,30.701,31,29,33,8,3,1,2,Very High,0.0625
Will Ashcroft,Brisbane,27.0,25.808,26,24,28,6,3,3,0,Very High,0.1111
Patrick Cripps,Carlton,25.0,24.592,25,22,27,6,2,2,2,Very High,0.12
Max Gawn,Melbourne,24.5,24.422,24,23,26,3,7,0,3,Very High,0.0612
Izak Rankine,Adelaide,23.5,23.714,24,22,25,5,4,0,1,High,0.0213
Isaac Heeney,Sydney,23.0,22.575,23,20,25,6,1,2,2,High,0.1304
Luke Jackson,Fremantle,23.0,22.445,22,19,26,5,2,2,4,Medium,0.1739
Lachie Neale,Brisbane,22.5,21.995,22,20,24,3,6,0,3,High,0.0667
Ed Richards,Western Bulldogs,21.5,21.947,22,20,24,6,1,1,1,High,0.0698
Jordan Dawson,Adelaide,21.0,21.708,22,18,25,3,4,3,2,Medium,0.1905
Nasiah Wanganeen-Milera,St Kilda,21.0,21.588,22,20,24,5,2,1,2,High,0.0952
Jai Newcombe,Hawthorn,21.5,21.547,22,20,23,5,3,0,1,High,0.0233
Harry Sheezel,North Melbourne,21.5,19.077,19,15,23,3,2,7,3,Medium,0.3953
Kysaiah Pickett,Melbourne,18.0,18.882,19,17,21,5,1,1,0,High,0.0556
Jason Horne-Francis,Port Adelaide,19.5,18.79,19,16,21,3,3,4,1,High,0.2308
Errol Gulden,Sydney,17.0,17.142,17,16,19,5,1,0,0,Medium,0.0
Zak Butters,Port Adelaide,17.0,16.874,17,14,20,3,2,2,4,Medium,0.2353
Max Holmes,Geelong,17.0,16.652,17,15,18,3,4,0,0,Medium,0.0
Zac Bailey,Brisbane,17.5,16.464,16,13,20,2,3,5,1,Medium,0.3143
Murphy Reid,Fremantle,16.0,15.649,16,13,18,3,2,2,2,Medium,0.1875
Harley Reid,West Coast,16.5,15.601,16,14,18,3,3,1,1,Medium,0.0909
Luke Davies-Uniacke,North Melbourne,15.5,14.876,15,12,18,2,3,2,3,Medium,0.2258
Tom Sparrow,Melbourne,16.0,14.719,15,12,17,2,3,2,4,Medium,0.25
Chad Warner,Sydney,15.0,14.397,14,12,17,0,6,2,2,Medium,0.2
Caleb Serong,Fremantle,14.5,14.035,14,12,16,4,1,0,1,Medium,0.0345
Brodie Grundy,Sydney,15.5,13.938,14,11,17,2,3,3,1,Medium,0.2258
Toby Greene,Greater Western Sydney,14.5,13.405,13,10,16,2,2,4,1,Medium,0.3103
Andrew Brayshaw,Fremantle,13.0,12.58,13,11,14,2,3,0,2,Medium,0.0769
Clayton Oliver,Greater Western Sydney,13.5,12.402,12,9,16,3,0,3,3,Medium,0.3333
Sam Walsh,Carlton,13.0,11.79,12,8,15,2,1,3,4,Medium,0.3846
Connor Macdonald,Hawthorn,12.5,11.718,12,10,14,1,4,1,1,Medium,0.12
Shai Bolton,Fremantle,12.5,11.718,12,10,14,1,4,1,1,Medium,0.12
Noah Anderson,Gold Coast,12.0,11.167,11,8,14,1,3,3,0,Medium,0.25
Jarman Impey,Hawthorn,11.5,10.815,11,9,13,2,2,1,1,Medium,0.1304
Josh Daicos,Collingwood,11.5,10.685,11,8,13,1,3,2,1,Medium,0.2174
Christian Petracca,Gold Coast,11.0,10.564,11,9,12,3,1,0,0,Medium,0.0
Josh Treacy,Fremantle,11.0,10.304,10,8,13,1,3,2,0,Medium,0.1818
John Noble,Gold Coast,10.5,9.952,10,8,12,2,2,0,1,Medium,0.0476
Max Hall,St Kilda,11.0,9.864,10,6,14,1,1,5,2,Medium,0.5455
Touk Miller,Gold Coast,10.5,9.822,10,8,12,1,3,1,1,Medium,0.1429
George Hewett,Carlton,10.5,9.782,10,7,12,2,1,2,1,Medium,0.2381
Tim Taranto,Richmond,10.5,9.682,10,7,12,2,1,1,3,Medium,0.2381
Jacob van Rooyen,Melbourne,10.0,9.571,10,8,11,2,2,0,0,Medium,0.0
Shaun Mannagh,Geelong,10.0,9.441,9,7,11,1,3,1,0,Medium,0.1
Charlie Curnow,Sydney,10.0,9.401,9,7,12,2,1,2,0,Medium,0.2
Jagga Smith,Carlton,10.0,9.041,9,6,13,0,3,3,2,Medium,0.4
Lachie Ash,Greater Western Sydney,9.5,8.819,9,7,11,2,1,0,3,Low,0.1579
Wayne Milera,Adelaide,9.5,8.789,9,6,12,1,2,2,1,Low,0.2632
Jye Amiss,Fremantle,8.5,7.926,8,6,10,1,2,1,1,Low,0.1765
Finn Callaghan,Greater Western Sydney,8.5,7.786,8,5,11,2,0,1,3,Low,0.2941
Matt Rowell,Gold Coast,8.0,7.775,8,4,11,1,1,2,2,Low,0.375
Sam Berry,Adelaide,8.5,7.756,8,4,11,1,1,3,1,Low,0.4118
Lachie Whitfield,Greater Western Sydney,8.0,7.675,8,6,9,2,1,0,0,Low,0.0
Justin McInerney,Sydney,8.0,7.545,8,5,10,1,2,1,0,Low,0.125
Logan Morris,Brisbane,7.5,7.023,7,5,10,2,0,1,1,Low,0.2
Jordan De Goey,Collingwood,7.5,6.833,7,4,9,0,3,0,3,Low,0.2
Nick Watson,Hawthorn,7.5,6.793,7,4,10,1,1,1,3,Low,0.3333
Caleb Daniel,North Melbourne,7.0,6.642,7,4,9,2,0,1,0,Low,0.1429
Bradley Hill,St Kilda,7.0,6.512,7,4,9,1,1,2,0,Low,0.2857
