round,roundNumber,game,fixtureGame,matchup,player,team,opponent,homeAway,human_vote,modelEV
Round 0,0,1,1,Sydney v Carlton,Justin McInerney,Sydney,Carlton,Home,3.0,2.798
Round 5,5,5,5,Sydney v Gold Coast,Justin McInerney,Sydney,Gold Coast,Home,2.0,1.917
Round 6,6,3,3,Sydney v Greater Western Sydney,Justin McInerney,Sydney,Greater Western Sydney,Home,2.0,1.917
Round 8,8,8,8,Sydney v Melbourne,Justin McInerney,Sydney,Melbourne,Home,1.0,0.912
Round 0,0,1,1,Sydney v Carlton,Errol Gulden,Sydney,Carlton,Home,2.0,2.105
Round 20,20,6,6,Greater Western Sydney v Sydney,Errol Gulden,Sydney,Greater Western Sydney,Away,3.0,3.007
Round 21,21,3,3,St Kilda v Sydney,Errol Gulden,Sydney,St Kilda,Away,3.0,3.007
Round 22,22,4,4,Sydney v Port Adelaide,Errol Gulden,Sydney,Port Adelaide,Home,3.0,3.007
Round 23,23,9,9,Essendon v Sydney,Errol Gulden,Sydney,Essendon,Away,3.0,3.007
Round 24,24,8,8,Sydney v North Melbourne,Errol Gulden,Sydney,North Melbourne,Home,3.0,3.007
Round 0,0,1,1,Sydney v Carlton,Isaac Heeney,Sydney,Carlton,Home,1.0,1.009
Round 4,4,5,5,West Coast v Sydney,Isaac Heeney,Sydney,West Coast,Away,3.0,2.937
Round 5,5,5,5,Sydney v Gold Coast,Isaac Heeney,Sydney,Gold Coast,Home,3.0,2.937
Round 8,8,8,8,Sydney v Melbourne,Isaac Heeney,Sydney,Melbourne,Home,0.5,0.448
Round 9,9,4,4,North Melbourne v Sydney,Isaac Heeney,Sydney,North Melbourne,Away,3.0,2.937
Round 10,10,2,2,Sydney v Collingwood,Isaac Heeney,Sydney,Collingwood,Home,0.5,0.448
Round 12,12,3,3,Sydney v Richmond,Isaac Heeney,Sydney,Richmond,Home,3.0,2.937
Round 13,13,6,6,Sydney v St Kilda,Isaac Heeney,Sydney,St Kilda,Home,3.0,2.937
Round 14,14,5,5,Port Adelaide v Sydney,Isaac Heeney,Sydney,Port Adelaide,Away,3.0,2.937
Round 17,17,2,3,Sydney v Western Bulldogs,Isaac Heeney,Sydney,Western Bulldogs,Home,1.0,1.009
Round 23,23,9,9,Essendon v Sydney,Isaac Heeney,Sydney,Essendon,Away,2.0,2.037
Round 0,0,1,1,Sydney v Carlton,Sam Walsh,Carlton,Sydney,Away,0.5,0.366
Round 1,1,1,1,Carlton v Richmond,Sam Walsh,Carlton,Richmond,Home,1.0,0.919
Round 6,6,1,1,Carlton v Collingwood,Sam Walsh,Carlton,Collingwood,Home,0.5,0.366
Round 7,7,6,6,Fremantle v Carlton,Sam Walsh,Carlton,Fremantle,Away,1.0,0.919
Round 12,12,2,2,Carlton v Geelong,Sam Walsh,Carlton,Geelong,Home,1.0,0.919
Round 15,15,4,4,Greater Western Sydney v Carlton,Sam Walsh,Carlton,Greater Western Sydney,Away,3.0,2.82
Round 16,16,3,3,Carlton v West Coast,Sam Walsh,Carlton,West Coast,Home,0.5,0.366
Round 20,20,4,4,Carlton v Gold Coast,Sam Walsh,Carlton,Gold Coast,Home,0.5,0.366
Round 22,22,9,9,St Kilda v Carlton,Sam Walsh,Carlton,St Kilda,Away,3.0,2.82
Round 24,24,3,3,Carlton v Fremantle,Sam Walsh,Carlton,Fremantle,Home,2.0,1.932
Round 0,0,2,2,Gold Coast v Geelong,Christian Petracca,Gold Coast,Geelong,Home,3.0,2.867
Round 1,1,9,9,Gold Coast v West Coast,Christian Petracca,Gold Coast,West Coast,Home,3.0,2.867
Round 6,6,4,4,Gold Coast v Essendon,Christian Petracca,Gold Coast,Essendon,Home,3.0,2.867
Round 8,8,9,9,Gold Coast v Greater Western Sydney,Christian Petracca,Gold Coast,Greater Western Sydney,Home,2.0,1.964
Round 0,0,2,2,Gold Coast v Geelong,John Noble,Gold Coast,Geelong,Home,2.0,1.948
Round 8,8,9,9,Gold Coast v Greater Western Sydney,John Noble,Gold Coast,Greater Western Sydney,Home,3.0,2.843
Round 9,9,6,6,Gold Coast v St Kilda,John Noble,Gold Coast,St Kilda,Home,3.0,2.843
Round 10,10,3,3,Gold Coast v Port Adelaide,John Noble,Gold Coast,Port Adelaide,Home,2.0,1.948
Round 24,24,1,1,St Kilda v Gold Coast,John Noble,Gold Coast,St Kilda,Away,0.5,0.369
Round 0,0,2,2,Gold Coast v Geelong,Touk Miller,Gold Coast,Geelong,Home,1.0,0.912
Round 2,2,3,3,Richmond v Gold Coast,Touk Miller,Gold Coast,Richmond,Away,2.0,1.917
Round 6,6,4,4,Gold Coast v Essendon,Touk Miller,Gold Coast,Essendon,Home,0.5,0.363
Round 19,19,8,8,Gold Coast v Western Bulldogs,Touk Miller,Gold Coast,Western Bulldogs,Home,2.0,1.917
Round 22,22,7,7,Greater Western Sydney v Gold Coast,Touk Miller,Gold Coast,Greater Western Sydney,Away,2.0,1.917
Round 24,24,1,1,St Kilda v Gold Coast,Touk Miller,Gold Coast,St Kilda,Away,3.0,2.797
Round 0,0,2,2,Gold Coast v Geelong,Bailey Humphrey,Gold Coast,Geelong,Home,0.5,0.382
Round 0,0,3,3,Greater Western Sydney v Hawthorn,Clayton Oliver,Greater Western Sydney,Hawthorn,Home,3.0,2.84
Round 5,5,8,8,Greater Western Sydney v Richmond,Clayton Oliver,Greater Western Sydney,Richmond,Home,0.5,0.368
Round 6,6,3,3,Sydney v Greater Western Sydney,Clayton Oliver,Greater Western Sydney,Sydney,Away,1.0,0.926
Round 8,8,9,9,Gold Coast v Greater Western Sydney,Clayton Oliver,Greater Western Sydney,Gold Coast,Away,1.0,0.926
Round 10,10,9,9,West Coast v Greater Western Sydney,Clayton Oliver,Greater Western Sydney,West Coast,Away,0.5,0.368
Round 11,11,8,8,Greater Western Sydney v Brisbane,Clayton Oliver,Greater Western Sydney,Brisbane,Home,3.0,2.84
Round 14,14,7,7,St Kilda v Greater Western Sydney,Clayton Oliver,Greater Western Sydney,St Kilda,Away,0.5,0.368
Round 17,17,5,5,Greater Western Sydney v Fremantle,Clayton Oliver,Greater Western Sydney,Fremantle,Home,1.0,0.926
Round 18,18,4,4,Greater Western Sydney v Geelong,Clayton Oliver,Greater Western Sydney,Geelong,Home,3.0,2.84
Round 0,0,3,3,Greater Western Sydney v Hawthorn,Jake Stringer,Greater Western Sydney,Hawthorn,Home,2.0,1.896
Round 17,17,5,5,Greater Western Sydney v Fremantle,Jake Stringer,Greater Western Sydney,Fremantle,Home,2.0,1.896
Round 0,0,3,3,Greater Western Sydney v Hawthorn,Stephen Coniglio,Greater Western Sydney,Hawthorn,Home,1.0,0.863
Round 21,21,5,5,Port Adelaide v Greater Western Sydney,Stephen Coniglio,Greater Western Sydney,Port Adelaide,Away,1.0,0.863
Round 0,0,3,3,Greater Western Sydney v Hawthorn,Finn Callaghan,Greater Western Sydney,Hawthorn,Home,0.5,0.372
Round 3,3,2,2,Collingwood v Greater Western Sydney,Finn Callaghan,Greater Western Sydney,Collingwood,Away,1.0,0.935
Round 5,5,8,8,Greater Western Sydney v Richmond,Finn Callaghan,Greater Western Sydney,Richmond,Home,3.0,2.868
Round 9,9,5,5,Greater Western Sydney v Essendon,Finn Callaghan,Greater Western Sydney,Essendon,Home,0.5,0.372
Round 12,12,6,6,Melbourne v Greater Western Sydney,Finn Callaghan,Greater Western Sydney,Melbourne,Away,3.0,2.868
Round 16,16,2,2,Hawthorn v Greater Western Sydney,Finn Callaghan,Greater Western Sydney,Hawthorn,Away,0.5,0.372
Round 0,0,4,4,Brisbane v Western Bulldogs,Ed Richards,Western Bulldogs,Brisbane,Away,3.0,3.048
Round 9,9,3,3,Port Adelaide v Western Bulldogs,Ed Richards,Western Bulldogs,Port Adelaide,Away,0.5,0.48
Round 11,11,9,9,Western Bulldogs v Melbourne,Ed Richards,Western Bulldogs,Melbourne,Home,3.0,3.048
Round 12,12,5,5,Western Bulldogs v Collingwood,Ed Richards,Western Bulldogs,Collingwood,Home,3.0,3.048
Round 18,18,7,7,Western Bulldogs v West Coast,Ed Richards,Western Bulldogs,West Coast,Home,2.0,2.119
Round 20,20,7,7,Western Bulldogs v Richmond,Ed Richards,Western Bulldogs,Richmond,Home,3.0,3.048
Round 21,21,2,2,Fremantle v Western Bulldogs,Ed Richards,Western Bulldogs,Fremantle,Away,1.0,1.059
Round 23,23,8,8,Western Bulldogs v Carlton,Ed Richards,Western Bulldogs,Carlton,Home,3.0,3.048
Round 24,24,4,4,Melbourne v Western Bulldogs,Ed Richards,Western Bulldogs,Melbourne,Away,3.0,3.048
Round 0,0,4,4,Brisbane v Western Bulldogs,Lachie Neale,Brisbane,Western Bulldogs,Home,2.0,2.008
Round 4,4,1,1,Brisbane v Collingwood,Lachie Neale,Brisbane,Collingwood,Home,0.5,0.394
Round 5,5,3,3,North Melbourne v Brisbane,Lachie Neale,Brisbane,North Melbourne,Away,3.0,2.922
Round 6,6,8,9,Melbourne v Brisbane,Lachie Neale,Brisbane,Melbourne,Away,2.0,2.008
Round 7,7,8,8,Brisbane v Adelaide,Lachie Neale,Brisbane,Adelaide,Home,2.0,2.008
Round 8,8,4,4,Essendon v Brisbane,Lachie Neale,Brisbane,Essendon,Away,0.5,0.394
Round 9,9,2,2,Brisbane v Carlton,Lachie Neale,Brisbane,Carlton,Home,3.0,2.922
Round 13,13,4,4,Gold Coast v Brisbane,Lachie Neale,Brisbane,Gold Coast,Away,2.0,2.008
Round 14,14,6,6,Richmond v Brisbane,Lachie Neale,Brisbane,Richmond,Away,0.5,0.394
Round 18,18,9,9,Brisbane v Essendon,Lachie Neale,Brisbane,Essendon,Home,2.0,2.008
Round 22,22,2,2,Brisbane v Hawthorn,Lachie Neale,Brisbane,Hawthorn,Home,3.0,2.922
Round 24,24,2,2,Collingwood v Brisbane,Lachie Neale,Brisbane,Collingwood,Away,2.0,2.008
Round 0,0,4,4,Brisbane v Western Bulldogs,Bailey Williams,Western Bulldogs,Brisbane,Away,1.0,0.863
Round 2,2,2,2,Adelaide v Western Bulldogs,Bailey Williams,Western Bulldogs,Adelaide,Away,1.0,0.863
Round 19,19,8,8,Gold Coast v Western Bulldogs,Bailey Williams,Western Bulldogs,Gold Coast,Away,1.0,0.863
Round 0,0,4,4,Brisbane v Western Bulldogs,Marcus Bontempelli,Western Bulldogs,Brisbane,Away,0.5,0.393
Round 1,1,3,3,Western Bulldogs v Greater Western Sydney,Marcus Bontempelli,Western Bulldogs,Greater Western Sydney,Home,3.0,2.878
Round 2,2,2,2,Adelaide v Western Bulldogs,Marcus Bontempelli,Western Bulldogs,Adelaide,Away,3.0,2.878
Round 4,4,7,7,Western Bulldogs v Essendon,Marcus Bontempelli,Western Bulldogs,Essendon,Home,3.0,2.878
Round 7,7,1,1,Western Bulldogs v Sydney,Marcus Bontempelli,Western Bulldogs,Sydney,Home,2.0,1.979
Round 8,8,2,2,Western Bulldogs v Fremantle,Marcus Bontempelli,Western Bulldogs,Fremantle,Home,0.5,0.393
Round 9,9,3,3,Port Adelaide v Western Bulldogs,Marcus Bontempelli,Western Bulldogs,Port Adelaide,Away,3.0,2.878
Round 11,11,9,9,Western Bulldogs v Melbourne,Marcus Bontempelli,Western Bulldogs,Melbourne,Home,2.0,1.979
Round 13,13,2,2,Hawthorn v Western Bulldogs,Marcus Bontempelli,Western Bulldogs,Hawthorn,Away,3.0,2.878
Round 15,15,7,7,St Kilda v Western Bulldogs,Marcus Bontempelli,Western Bulldogs,St Kilda,Away,3.0,2.878
Round 18,18,7,7,Western Bulldogs v West Coast,Marcus Bontempelli,Western Bulldogs,West Coast,Home,3.0,2.878
Round 19,19,8,8,Gold Coast v Western Bulldogs,Marcus Bontempelli,Western Bulldogs,Gold Coast,Away,3.0,2.878
Round 20,20,7,7,Western Bulldogs v Richmond,Marcus Bontempelli,Western Bulldogs,Richmond,Home,2.0,1.979
Round 24,24,4,4,Melbourne v Western Bulldogs,Marcus Bontempelli,Western Bulldogs,Melbourne,Away,1.0,0.953
Round 0,0,5,5,St Kilda v Collingwood,Nick Daicos,Collingwood,St Kilda,Away,3.0,2.895
Round 1,1,6,6,Collingwood v Adelaide,Nick Daicos,Collingwood,Adelaide,Home,2.0,2.003
Round 3,3,2,2,Collingwood v Greater Western Sydney,Nick Daicos,Collingwood,Greater Western Sydney,Home,3.0,2.895
Round 5,5,2,2,Collingwood v Fremantle,Nick Daicos,Collingwood,Fremantle,Home,1.0,0.986
Round 6,6,1,1,Carlton v Collingwood,Nick Daicos,Collingwood,Carlton,Away,3.0,2.895
Round 7,7,4,4,Essendon v Collingwood,Nick Daicos,Collingwood,Essendon,Away,2.0,2.003
Round 8,8,1,1,Collingwood v Hawthorn,Nick Daicos,Collingwood,Hawthorn,Home,1.0,0.986
Round 10,10,2,2,Sydney v Collingwood,Nick Daicos,Collingwood,Sydney,Away,1.0,0.986
Round 11,11,6,6,Collingwood v West Coast,Nick Daicos,Collingwood,West Coast,Home,3.0,2.895
Round 12,12,5,5,Western Bulldogs v Collingwood,Nick Daicos,Collingwood,Western Bulldogs,Away,1.0,0.986
Round 13,13,8,8,Collingwood v Melbourne,Nick Daicos,Collingwood,Melbourne,Home,2.0,2.003
Round 15,15,5,5,Collingwood v Port Adelaide,Nick Daicos,Collingwood,Port Adelaide,Home,3.0,2.895
Round 16,16,4,4,Collingwood v Richmond,Nick Daicos,Collingwood,Richmond,Home,3.0,2.895
Round 17,17,6,6,Gold Coast v Collingwood,Nick Daicos,Collingwood,Gold Coast,Away,3.0,2.895
Round 18,18,2,2,Collingwood v North Melbourne,Nick Daicos,Collingwood,North Melbourne,Home,1.0,0.986
Round 19,19,5,6,Collingwood v Carlton,Nick Daicos,Collingwood,Carlton,Home,3.0,2.895
Round 20,20,1,1,Adelaide v Collingwood,Nick Daicos,Collingwood,Adelaide,Away,3.0,2.895
Round 21,21,1,1,Collingwood v Geelong,Nick Daicos,Collingwood,Geelong,Home,2.0,2.003
Round 22,22,8,8,West Coast v Collingwood,Nick Daicos,Collingwood,West Coast,Away,3.0,2.895
Round 23,23,5,5,Hawthorn v Collingwood,Nick Daicos,Collingwood,Hawthorn,Away,3.0,2.895
Round 0,0,5,5,St Kilda v Collingwood,Josh Daicos,Collingwood,St Kilda,Away,2.0,1.908
Round 3,3,2,2,Collingwood v Greater Western Sydney,Josh Daicos,Collingwood,Greater Western Sydney,Home,2.0,1.908
Round 7,7,4,4,Essendon v Collingwood,Josh Daicos,Collingwood,Essendon,Away,1.0,0.908
Round 16,16,4,4,Collingwood v Richmond,Josh Daicos,Collingwood,Richmond,Home,0.5,0.361
Round 18,18,2,2,Collingwood v North Melbourne,Josh Daicos,Collingwood,North Melbourne,Home,3.0,2.785
Round 22,22,8,8,West Coast v Collingwood,Josh Daicos,Collingwood,West Coast,Away,2.0,1.908
Round 23,23,5,5,Hawthorn v Collingwood,Josh Daicos,Collingwood,Hawthorn,Away,1.0,0.908
Round 0,0,5,5,St Kilda v Collingwood,Jack Sinclair,St Kilda,Collingwood,Home,1.0,0.903
Round 1,1,8,8,Melbourne v St Kilda,Jack Sinclair,St Kilda,Melbourne,Away,0.5,0.359
Round 2,2,4,4,Greater Western Sydney v St Kilda,Jack Sinclair,St Kilda,Greater Western Sydney,Away,2.0,1.898
Round 6,6,6,6,Adelaide v St Kilda,Jack Sinclair,St Kilda,Adelaide,Away,2.0,1.898
Round 10,10,8,8,St Kilda v Richmond,Jack Sinclair,St Kilda,Richmond,Home,0.5,0.359
Round 0,0,5,5,St Kilda v Collingwood,Jordan De Goey,Collingwood,St Kilda,Away,0.5,0.362
